Time GX GY GZ
s m/s^2 m/s^2 m/s^2
83.11 1.27 -0.12 17.45
83.24 1.27 -0.14 17.55
83.36 1.30 -0.13 17.48
83.49 1.32 -0.18 17.63
83.62 1.31 -0.15 17.65
83.73 1.33 -0.16 17.74
83.871 1.34 -0.13 17.78
84.001 1.35 -0.14 17.79
84.131 1.38 -0.12 17.88
84.261 1.38 -0.04 17.81
84.391 1.38 -0.04 17.71
84.502 1.37 -0.04 17.52
84.642 1.38 0.00 17.33
84.772 1.39 0.02 17.25
84.932 1.38 0.07 17.15
85.062 1.38 0.06 17.15
85.193 1.40 0.10 17.04
85.323 1.42 0.03 17.10
85.443 1.42 -0.02 17.08
85.573 1.43 -0.07 17.26
85.703 1.46 -0.09 17.35
85.833 1.46 -0.08 17.31
85.954 1.48 -0.15 17.35
86.084 1.48 -0.20 17.36
86.214 1.49 -0.20 17.32
86.324 1.49 -0.24 17.17
86.464 1.49 -0.23 17.06
86.595 1.52 -0.29 17.08
86.705 1.53 -0.27 17.15
86.855 1.55 -0.23 17.23
86.975 1.58 -0.18 17.28
87.145 1.61 -0.16 17.39
87.265 1.65 -0.09 17.35
87.396 1.68 -0.07 17.49
87.526 1.71 -0.03 17.64
87.656 1.75 0.02 17.70
87.776 1.77 0.05 17.76
87.906 1.80 0.08 17.75
88.037 1.81 0.08 17.91
88.167 1.83 0.12 17.83
88.297 1.86 0.13 17.86
88.417 1.85 0.14 17.72
88.547 1.85 0.09 17.59
88.678 1.84 0.05 17.47
88.808 1.82 0.06 17.22
88.918 1.81 -0.01 17.08
89.058 1.78 -0.03 16.76
89.188 1.76 -0.10 16.57
89.308 1.75 -0.08 16.40
89.449 1.76 -0.10 16.28
89.569 1.76 -0.13 16.26
89.739 1.77 -0.11 16.15
89.859 1.78 -0.14 16.15
89.989 1.80 -0.18 16.18
90.12 1.79 -0.18 16.31
90.25 1.78 -0.20 16.08
90.37 1.72 -0.19 15.33
90.5 1.61 -0.20 14.62
90.63 1.46 -0.19 13.76
90.761 1.31 -0.20 12.64
90.891 1.16 -0.14 11.41
91.011 1.01 -0.15 10.26
91.141 0.88 -0.12 9.14
91.271 0.76 -0.10 8.15
91.401 0.65 -0.08 7.14
91.532 0.58 -0.08 6.35
91.652 0.50 -0.06 5.49
91.782 0.44 -0.06 4.75
91.892 0.39 -0.03 3.99
92.042 0.36 -0.05 3.35
92.173 0.32 -0.05 2.86
92.283 0.31 0.02 2.51
92.423 0.28 -0.01 2.34
92.553 0.25 -0.01 2.11
92.673 0.22 -0.01 1.96
92.813 0.21 -0.02 1.78
92.944 0.19 0.04 1.68
93.114 0.16 0.01 1.62
93.254 0.14 0.04 1.56
93.384 0.11 0.03 1.43
93.545 0.10 0.03 1.26
93.665 0.09 0.04 1.16
93.795 0.08 0.04 1.04
93.925 0.07 0.05 0.92
94.055 0.06 0.02 0.78
94.175 0.05 0.05 0.70
94.306 0.04 0.03 0.72
94.436 0.03 0.05 0.58
94.566 0.03 0.04 0.49
94.686 0.02 0.03 0.50
94.816 0.02 0.05 0.43
94.927 0.01 0.02 0.53
95.077 0.00 0.06 0.52
95.207 -0.00 0.04 0.46
95.317 0.01 0.07 0.40
95.457 0.02 0.07 0.33
95.587 0.00 0.04 0.36
95.708 -0.00 0.06 0.32
95.848 0.01 0.03 0.30
95.978 0.00 0.04 0.18
96.088 0.02 0.03 0.17
96.228 0.00 0.03 0.17
96.359 -0.01 0.02 0.21
96.529 0.01 0.03 0.15
96.659 0.00 0.03 0.07
96.789 0.01 0.02 0.14
96.919 0.00 0.03 0.18
97.03 -0.01 -0.01 0.24
97.17 -0.00 -0.00 0.23
97.3 0.00 0.04 0.23
97.41 0.00 0.06 0.25
97.56 -0.00 0.07 0.23
97.68 -0.00 0.06 0.25
97.841 0.01 0.08 0.14
97.971 0.01 0.06 0.10
98.101 0.01 0.06 0.11
98.231 0.01 0.06 0.05
98.351 0.01 0.04 0.01
98.482 0.01 0.05 -0.11
98.612 0.02 0.03 -0.17
98.742 0.02 0.02 -0.24
98.872 0.01 0.01 -0.26
98.992 0.02 0.01 -0.27
99.123 0.02 0.01 -0.36
99.253 0.02 0.00 -0.50
99.383 0.03 0.02 -0.53
99.513 0.03 0.01 -0.49
99.623 0.03 -0.01 -0.46
99.763 0.03 -0.01 -0.41
99.894 0.03 -0.03 -0.37
100.014 0.03 -0.03 -0.34
100.154 0.02 -0.03 -0.27
100.284 0.02 -0.03 -0.19
100.394 0.02 -0.03 -0.14
100.535 0.02 -0.04 -0.08
100.665 0.02 -0.03 -0.01
100.835 0.02 -0.02 0.03
100.945 0.02 -0.02 0.04
101.085 0.02 -0.02 0.11
101.216 0.01 -0.01 0.14
101.426 0.01 -0.02 0.24
101.556 0.01 -0.01 0.23
101.676 0.02 -0.01 0.23
101.806 0.02 0.00 0.22
101.937 0.01 -0.01 0.25
102.067 0.02 0.01 0.24
102.197 0.02 0.00 0.21
102.317 0.02 0.01 0.18
102.527 0.02 -0.01 0.15
102.648 0.02 -0.00 0.20
102.768 0.02 -0.02 0.17
102.908 0.02 -0.01 0.14
103.038 0.02 -0.00 0.09
103.148 0.02 -0.01 0.09
103.299 0.03 -0.02 0.07
103.419 0.02 -0.01 0.04
103.629 0.02 -0.02 0.08
103.749 0.02 0.00 0.08
103.929 0.02 -0.02 0.04
104.05 0.02 -0.01 0.04
104.18 0.02 -0.01 0.04
104.31 0.03 -0.03 0.06
104.44 0.02 -0.01 0.05
104.56 0.02 -0.01 0.06
104.691 0.02 -0.02 0.09
104.811 0.02 -0.00 0.10
104.951 0.02 0.01 0.09
105.081 0.02 -0.02 0.08
105.241 0.02 0.01 0.06
105.362 0.02 0.00 0.05
105.492 0.02 0.00 0.05
105.622 0.02 -0.00 0.04
105.752 0.02 0.00 0.04
105.882 0.02 -0.00 0.03
106.002 0.02 -0.00 0.01
106.133 0.02 0.01 0.00
106.263 0.02 0.00 -0.01
106.393 0.02 0.00 -0.00
106.513 0.02 0.00 -0.01
106.633 0.02 0.01 -0.04
106.774 0.02 -0.00 -0.06
106.904 0.01 -0.00 -0.09
107.014 0.01 0.00 -0.09
107.154 0.01 0.00 -0.10
107.284 0.01 0.01 -0.11
107.404 0.01 0.02 -0.14
107.545 0.02 0.02 -0.15
107.675 0.01 0.01 -0.14
107.785 0.01 0.02 -0.15
107.935 0.01 0.01 -0.16
108.055 0.00 0.01 -0.20
